"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"2","1","C. Billups†|†R. Hamilton†|†T. Prince†|†B. Wallace†|†R. Wallace","DET","2004-05","67","1397.4","2558","2531","87.4","35.8","79.5",".450","5.1","14.0",".363",".482","18.4","25.0",".735","95.0","22.0","6.6","6.8","11.9","15.5","+2.3","-1.8","+.038","+0.6","-0.4","+.052","+.042","+5.2","+7.5","-.015","+10.4","Chauncey Billups","Richard Hamilton","Tayshaun Prince","Ben Wallace","Rasheed Wallace","/players/b/billuch01.html","/players/h/hamilri01.html","/players/p/princta01.html","/players/w/wallabe01.html","/players/w/wallara01.html"
"3","2","J. Johnson†|†S. Marion†|†S. Nash†|†Q. Richardson†|†A. Stoudemire","PHO","2004-05","69","1342.4","2720","2690","96.7","44.9","88.3",".509","11.1","25.7",".431",".572","18.8","24.5",".768","119.7","27.7","8.0","5.5","11.4","15.9","+2.9","-4.6","+.057","+5.4","+8.9","+.090","+.089","+5.5","+6.5","+.027","+16.7","Joe Johnson","Shawn Marion","Steve Nash","Quentin Richardson","Amar'e Stoudemire","/players/j/johnsjo02.html","/players/m/mariosh01.html","/players/n/nashst01.html","/players/r/richaqu01.html","/players/s/stoudam01.html"
"4","3","U. Haslem†|†D. Jones†|†E. Jones†|†S. O'Neal†|†D. Wade","MIA","2004-05","60","857.8","1627","1620","90.8","41.2","77.7",".531","6.7","15.1",".442",".574","18.7","28.7",".653","107.9","24.5","5.6","4.6","13.4","20.6","+4.0","-5.0","+.080","+1.0","-0.8","+.083","+.089","+1.4","+5.8","-.103","+10.3","Udonis Haslem","Damon Jones","Eddie Jones","Shaquille O'Neal","Dwyane Wade","/players/h/hasleud01.html","/players/j/jonesda01.html","/players/j/jonesed02.html","/players/o/onealsh01.html","/players/w/wadedw01.html"
"5","4","D. Gooden†|†Z. Ilgauskas†|†L. James†|†J. McInnis†|†I. Newble","CLE","2004-05","56","808.2","1509","1512","89.7","38.2","83.1",".460","2.4","7.2",".339",".475","17.4","21.9",".794","96.3","23.6","7.0","5.2","14.1","17.8","-0.3","-1.2","+.003","-1.8","-4.0","-.044","-0.008","+4.8","+5.3","+.034","+2.4","Drew Gooden","Zydrunas Ilgauskas","LeBron James","Jeff McInnis","Ira Newble","/players/g/goodedr01.html","/players/i/ilgauzy01.html","/players/j/jamesle01.html","/players/m/mcinnje01.html","/players/n/newblir01.html"
"6","5","R. Allen†|†R. Evans†|†J. James†|†R. Lewis†|†L. Ridnour","SEA","2004-05","63","790.1","1402","1397","85.0","35.7","80.9",".441","8.6","20.0",".427",".494","12.0","15.1",".795","92.0","19.6","6.4","5.4","14.2","21.9","0.0","+2.4","-.013","+3.8","+7.5","+.049","+.009","-2.1","-4.1","+.058","+1.7","Ray Allen","Reggie Evans","Jerome James","Rashard Lewis","Luke Ridnour","/players/a/allenra02.html","/players/e/evansre01.html","/players/j/jamesje01.html","/players/l/lewisra02.html","/players/r/ridnolu01.html"
"7","6","M. Bibby†|†D. Christie†|†B. Miller†|†P. Stojakovic†|†C. Webber","SAC","2004-05","29","612.8","1211","1193","94.2","40.1","83.7",".479","5.8","14.1",".411",".514","17.9","21.4",".835","103.9","29.3","8.4","3.9","12.8","17.2","+0.7","-3.6","+.028","+0.5","-1.3","+.071","+.032","+5.4","+3.7","+.132","+7.4","Mike Bibby","Doug Christie","Brad Miller","Peja Stojakoviƒá","Chris Webber","/players/b/bibbymi01.html","/players/c/chrisdo01.html","/players/m/millebr01.html","/players/s/stojape01.html","/players/w/webbech01.html"
"8","7","G. Arenas†|†B. Haywood†|†L. Hughes†|†A. Jamison†|†J. Jeffries","WAS","2004-05","35","598.0","1189","1186","95.3","38.8","84.6",".458","4.7","16.0",".291",".486","20.1","28.3",".711","102.3","20.1","10.1","4.8","15.2","20.1","+0.8","+0.2","+.009","-0.4","+0.5","-.035","+.006","+6.4","+11.3","-.096","+7.6","Gilbert Arenas","Brendan Haywood","Larry Hughes","Antawn Jamison","Jared Jeffries","/players/a/arenagi01.html","/players/h/haywobr01.html","/players/h/hughela01.html","/players/j/jamisan01.html","/players/j/jeffrja01.html"
"9","8","B. Bowen†|†T. Duncan†|†M. GinÛbili†|†R. Nesterovic†|†T. Parker","SAS","2004-05","51","577.1","1051","1058","87.7","38.5","80.0",".481","5.5","13.1",".418",".516","14.8","21.2",".698","97.3","22.3","6.7","7.8","13.3","17.5","+6.8","+1.4","+.078","+2.5","+4.7","+.065","+.093","+2.2","+4.7","-.061","+18.4","Bruce Bowen","Tim Duncan","Manu Gin√≥bili","Rasho Nesteroviƒá","Tony Parker","/players/b/bowenbr01.html","/players/d/duncati01.html","/players/g/ginobma01.html","/players/n/nestera01.html","/players/p/parketo01.html"
"10","9","E. Brand†|†R. Brunson†|†C. Kaman†|†C. Maggette†|†B. Simmons","LAC","2004-05","33","470.2","896","886","90.9","36.3","81.0",".448","3.0","6.9",".426",".467","22.3","27.6",".807","97.9","25.4","7.1","6.3","14.6","19.1","-1.6","-0.6","-.017","-2.1","-6.2","+.039","-0.030","+8.6","+9.5","+.050","+3.2","Elton Brand","Rick Brunson","Chris Kaman","Corey Maggette","Bobby Simmons","/players/b/brandel01.html","/players/b/brunsri01.html","/players/k/kamanch01.html","/players/m/maggeco01.html","/players/s/simmobo01.html"
"11","10","J. Howard†|†T. McGrady†|†Y. Ming†|†B. Sura†|†D. Wesley","HOU","2004-05","25","423.9","795","790","89.7","37.9","82.5",".460","6.8","17.1",".397",".501","16.6","21.1",".790","99.3","24.1","7.8","3.6","13.5","18.2","+1.9","+4.5","-.002","-0.8","+0.5","-.058","-0.009","+0.8","+0.6","+.017","+3.8","Juwan Howard","Tracy McGrady","Yao Ming","Bob Sura","David Wesley","/players/h/howarju01.html","/players/m/mcgratr01.html","/players/m/mingya01.html","/players/s/surabo01.html","/players/w/wesleda01.html"
"12","11","M. Blount†|†R. LaFrentz†|†G. Payton†|†P. Pierce†|†J. Welsch","BOS","2004-05","36","423.1","826","829","93.9","40.3","84.0",".480","4.5","14.3",".317",".507","15.7","19.3",".812","100.7","24.7","7.6","4.7","14.9","18.5","0.0","-2.2","+.012","-1.1","-0.2","-.073","+.006","+1.6","+1.8","+.007","+0.5","Mark Blount","Raef LaFrentz","Gary Payton","Paul Pierce","Ji≈ô√≠ Welsch","/players/b/blounma01.html","/players/l/lafrera01.html","/players/p/paytoga01.html","/players/p/piercpa01.html","/players/w/welscji01.html"
