"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"2","1","K. Caldwell-Pope†|†A. Drummond†|†E. Ilyasova†|†R. Jackson†|†M. Morris","DET","2015-16","48","913.2","1801","1791","94.4","39.3","88.8",".443","8.1","23.1",".353",".489","14.5","23.1",".629","101.3","18.9","7.8","3.2","13.0","16.2","+0.2","+5.7","-.028","+1.9","+3.9","+.029","-0.020","+1.4","+6.2","-.147","+3.7","Kentavious Caldwell-Pope","Andre Drummond","Ersan ƒ∞lyasova","Reggie Jackson","Marcus Morris","/players/c/caldwke01.html","/players/d/drumman01.html","/players/i/ilyaser01.html","/players/j/jacksre01.html","/players/m/morrima03.html"
"3","2","K. Bazemore†|†A. Horford†|†K. Korver†|†P. Millsap†|†J. Teague","ATL","2015-16","70","890.1","1843","1788","97.9","40.4","87.0",".464","10.7","30.3",".355",".526","14.3","17.0",".839","105.8","28.6","8.4","6.6","14.7","17.0","+2.2","-1.2","+.031","+1.6","+4.6","-.003","+.041","-0.2","-2.2","+.086","+5.7","Kent Bazemore","Al Horford","Kyle Korver","Paul Millsap","Jeff Teague","/players/b/bazemke01.html","/players/h/horfoal01.html","/players/k/korveky01.html","/players/m/millspa01.html","/players/t/teaguje01.html"
"4","3","S. Adams†|†K. Durant†|†S. Ibaka†|†A. Roberson†|†R. Westbrook","OKC","2015-16","59","813.9","1619","1609","95.2","43.6","86.0",".507","6.7","20.1",".334",".546","17.1","22.1",".775","111.1","27.0","7.5","7.4","14.8","16.1","+7.1","-3.2","+.098","-1.7","-3.9","-.015","+.090","+4.6","+6.2","-.013","+17.2","Steven Adams","Kevin Durant","Serge Ibaka","Andre Roberson","Russell Westbrook","/players/a/adamsst01.html","/players/d/duranke01.html","/players/i/ibakase01.html","/players/r/roberan03.html","/players/w/westbru01.html"
"5","4","A. Bradley†|†J. Crowder†|†A. Johnson†|†J. Sullinger†|†I. Thomas","BOS","2015-16","60","721.5","1430","1446","95.7","40.5","90.2",".448","10.2","27.7",".367",".505","12.7","16.2",".786","103.8","27.4","8.6","4.3","12.3","18.9","+0.4","+1.1","-.001","+2.2","+4.9","+.018","+.010","-1.6","-1.6","-.019","+1.4","Avery Bradley","Jae Crowder","Amir Johnson","Jared Sullinger","Isaiah Thomas","/players/b/bradlav01.html","/players/c/crowdja01.html","/players/j/johnsam01.html","/players/s/sullija01.html","/players/t/thomais02.html"
"6","5","L. Aldridge†|†T. Duncan†|†D. Green†|†K. Leonard†|†T. Parker","SAS","2015-16","47","695.8","1342","1333","92.3","39.6","85.7",".462","5.5","15.7",".352",".494","14.1","17.4",".813","98.9","24.2","7.5","6.6","11.9","14.8","+4.3","+3.7","+.032","-0.8","-1.4","-.020","+.026","+1.1","-0.1","+.066","+9.0","LaMarcus Aldridge","Tim Duncan","Danny Green","Kawhi Leonard","Tony Parker","/players/a/aldrila01.html","/players/d/duncati01.html","/players/g/greenda02.html","/players/l/leonaka01.html","/players/p/parketo01.html"
"7","6","G. Dieng†|†Z. LaVine†|†R. Rubio†|†K. Towns†|†A. Wiggins","MIN","2015-16","46","645.1","1316","1317","98.0","41.5","81.1",".512","7.5","18.1",".416",".558","21.8","25.6",".852","112.4","27.7","9.5","5.7","15.6","17.5","-0.2","-5.5","+.030","-3.3","-7.9",".000","+.014","+5.5","+4.8","+.070","+1.8","Gorgui Dieng","Zach LaVine","Ricky Rubio","Karl-Anthony Towns","Andrew Wiggins","/players/d/dienggo01.html","/players/l/lavinza01.html","/players/r/rubiori01.html","/players/t/townska01.html","/players/w/wiggian01.html"
"8","7","H. Barnes†|†A. Bogut†|†S. Curry†|†D. Green†|†K. Thompson","GSW","2015-16","49","551.1","1155","1153","100.5","43.6","90.1",".485","14.6","38.0",".385",".566","9.9","12.5",".797","111.8","30.7","7.7","6.1","15.7","16.8","+4.2","-1.2","+.052","+6.5","+14.9","+.034","+.089","-1.3","-3.8","+.107","+13.6","Harrison Barnes","Andrew Bogut","Stephen Curry","Draymond Green","Klay Thompson","/players/b/barneha02.html","/players/b/bogutan01.html","/players/c/curryst01.html","/players/g/greendr01.html","/players/t/thompkl01.html"
"9","8","K. Irving†|†L. James†|†K. Love†|†J. Smith†|†T. Thompson","CLE","2015-16","37","464.5","895","891","92.3","41.3","86.9",".476","12.6","31.8",".396",".548","14.5","19.1",".757","109.7","23.4","6.9","3.7","11.3","16.9","+2.6","+5.7","-.001","+5.2","+10.7","+.043","+.025","+2.3","+2.7","+.015","+12.6","Kyrie Irving","LeBron James","Kevin Love","J.R. Smith","Tristan Thompson","/players/i/irvinky01.html","/players/j/jamesle01.html","/players/l/loveke01.html","/players/s/smithjr01.html","/players/t/thomptr01.html"
"10","9","K. Caldwell-Pope†|†A. Drummond†|†T. Harris†|†R. Jackson†|†M. Morris","DET","2015-16","25","461.7","898","895","93.2","39.8","83.8",".475","8.8","24.3",".363",".528","14.7","22.5",".653","103.1","22.0","7.8","2.6","12.6","16.4","-0.3","+0.3","-.006","+2.0","+4.5","+.018","+.006","+2.8","+7.9","-.162","+4.2","Kentavious Caldwell-Pope","Andre Drummond","Tobias Harris","Reggie Jackson","Marcus Morris","/players/c/caldwke01.html","/players/d/drumman01.html","/players/h/harrito02.html","/players/j/jacksre01.html","/players/m/morrima03.html"
"11","10","M. Ellis†|†P. George†|†G. Hill†|†I. Mahinmi†|†M. Turner","IND","2015-16","25","450.0","923","927","98.7","37.5","84.4",".445","7.4","21.1",".348",".489","18.0","22.1",".816","100.5","21.7","9.5","5.2","13.4","17.4","0.0","-2.7","+.014","-0.1","-2.8","+.036","+.014","+3.6","+3.5","+.041","+3.5","Monta Ellis","Paul George","George Hill","Ian Mahinmi","Myles Turner","/players/e/ellismo01.html","/players/g/georgpa01.html","/players/h/hillge01.html","/players/m/mahinia01.html","/players/t/turnemy01.html"
"12","11","W. Matthews†|†D. Nowitzki†|†Z. Pachulia†|†C. Parsons†|†D. Williams","DAL","2015-16","40","417.6","809","792","92.0","35.1","81.7",".429","10.0","27.6",".363",".490","15.3","19.2",".796","95.4","23.4","7.1","3.3","13.1","14.7","-1.6","-1.8","-.010","+2.1","+5.4","+.005","+.004","+2.5","+1.8","+.061","+1.4","Wesley Matthews","Dirk Nowitzki","Zaza Pachulia","Chandler Parsons","Deron Williams","/players/m/matthwe02.html","/players/n/nowitdi01.html","/players/p/pachuza01.html","/players/p/parsoch01.html","/players/w/willide01.html"
"13","12","W. Ellington†|†J. Johnson†|†B. Lopez†|†D. Sloan†|†T. Young","BRK","2015-16","26","407.6","796","789","93.3","39.7","80.5",".493","7.5","17.7",".427",".539","15.8","19.2",".822","102.7","23.8","5.8","2.4","12.8","12.1","-0.7","-4.5","+.018","0.0","-4.7","+.090","+.020","+4.5","+4.7","+.042","+3.1","Wayne Ellington","Joe Johnson","Brook Lopez","Donald Sloan","Thaddeus Young","/players/e/ellinwa01.html","/players/j/johnsjo02.html","/players/l/lopezbr01.html","/players/s/sloando01.html","/players/y/youngth01.html"
"14","13","N. Batum†|†C. Lee†|†K. Walker†|†M. Williams†|†C. Zeller","CHO","2015-16","23","406.1","805","804","95.1","40.7","85.7",".474","13.4","33.0",".405",".552","17.0","20.3",".837","111.7","25.9","8.4","6.0","11.2","14.4","+1.3","+0.1","+.015","+3.7","+6.3","+.042","+.036","+3.8","+3.4","+.054","+10.0","Nicolas Batum","Courtney Lee","Kemba Walker","Marvin Williams","Cody Zeller","/players/b/batumni01.html","/players/l/leeco01.html","/players/w/walkeke02.html","/players/w/willima02.html","/players/z/zelleco01.html"
"15","14","D. Jordan†|†L. Mbah a Moute†|†C. Paul†|†P. Pierce†|†J. Redick","LAC","2015-16","30","374.3","727","722","92.9","38.9","83.9",".463","13.1","32.6",".402",".541","13.8","20.0",".692","104.6","26.2","6.2","4.9","11.9","16.9","+2.3","-2.9","+.042","+4.9","+8.0","+.068","+.073","+0.6","+3.1","-.088","+10.1","DeAndre Jordan","Luc Mbah a Moute","Chris Paul","Paul Pierce","J.J. Redick","/players/j/jordade01.html","/players/m/mbahalu01.html","/players/p/paulch01.html","/players/p/piercpa01.html","/players/r/redicjj01.html"
"16","15","S. Adams†|†K. Durant†|†S. Ibaka†|†D. Waiters†|†R. Westbrook","OKC","2015-16","49","358.8","734","727","97.7","42.3","86.8",".487","8.3","20.7",".400",".535","21.5","27.4",".785","114.4","25.4","6.6","7.2","13.8","19.3","+4.7","-2.9","+.068","+1.7","-2.5","+.118","+.079","+3.7","+2.5","+.070","+14.9","Steven Adams","Kevin Durant","Serge Ibaka","Dion Waiters","Russell Westbrook","/players/a/adamsst01.html","/players/d/duranke01.html","/players/i/ibakase01.html","/players/w/waitedi01.html","/players/w/westbru01.html"
"17","16","E. Fournier†|†C. Frye†|†T. Harris†|†E. Payton†|†N. Vucevic","ORL","2015-16","26","333.7","634","635","91.3","40.6","84.6",".480","8.9","21.1",".422",".532","10.6","14.1",".755","100.7","25.9","11.2","3.5","12.8","16.3","+4.2","+5.0","+.022","+0.3","-2.7","+.060","+.021","-1.9","-2.6","+.005","+6.8","Evan Fournier","Channing Frye","Tobias Harris","Elfrid Payton","Nikola Vuƒçeviƒá","/players/f/fournev01.html","/players/f/fryech01.html","/players/h/harrito02.html","/players/p/paytoel01.html","/players/v/vucevni01.html"
