,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,clst,sub_grp9
1.2001,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2001,1,1
2.2001,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2001,2,2
3.2001,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2001,3,3
4.2001,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,0,1,0,0,2001,4,2
5.2001,0,0,-1,1,1,1,-1,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,2001,5,4
6.2001,0,0,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,1,0,-1,2001,6,5
7.2001,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,1,1,1,-1,0,1,0,1,-1,2001,7,6
8.2001,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,-1,0,1,0,1,0,2001,8,6
9.2001,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,2001,9,3
1.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,1,7
2.2002,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,2002,2,8
3.2002,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,2002,3,3
4.2002,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2002,4,1
5.2002,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,2002,5,9
6.2002,-1,-1,0,0,-1,-1,0,0,0,0,0,-1,1,1,1,-1,0,1,0,1,-1,2002,6,6
7.2002,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,0,1,0,0,2002,7,2
8.2002,-1,0,-1,0,0,-1,0,0,-1,1,1,-1,0,0,0,0,0,0,0,1,0,2002,8,8
9.2002,0,0,0,1,1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,2002,9,4
1.2003,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,-1,0,1,0,1,0,2003,1,6
2.2003,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,2003,2,9
3.2003,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2003,3,1
